Camp_name,What does the respondent call the site?,governorate,district,subdistrict,site_typology,Is this a single or clustered site?,month,How many sites are there?,site_name,coordinates_latitude,coordinates_longitude,background/hhs_clusterd_dispersed,background/date_first_occupied,background/date_majority_arrived,hh/total_families,hh/total_population,hh/total_females,hh/total_children,hh/total_schoolagedchildren,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,background/governorate_aoo,background/district_aoo,background/location,background/date_of_firstdeparture,social_cohesion/tension,social_cohesion/intentions_three,social_cohesion/intentions_twelve,social_cohesion/reasons_not_to_return,social_cohesion/eviction,shelter_type/types,shelter_type/damaged_inneedof_repairs,shelter_type/main_priority_concerns,shelter_type/payingrent,shelter_type/tenancy_agreement,social_cohesion/eviction_reasons,physical_conditions/overcrowding,physical_environment/dis_access,physical_environment/electric,physical_environment/elec_concerns,physical_environment/fire_equipment,physical_environment/mines,priority_needs/urgent,wash/drinking,wash/water_acceptable,wash/functional_latrines,wash/functional_showers,wash/open_def,wash/flooding,wash/wastecollection,health/functional_clinic_within_5km,health/emergency_services,health/surgical_services,health/pediatric_services,health/prenatal_services,health/functional_hospital_within_10km,health/barriers_in_accessing_services,health/ambulance,health/vaccination_in_ 6_months,food_security/food_access_in_last_7_days,food_security/main_concern,food_security/pds,livelihoods/markets,livelihoods/markets_distance,livelihoods/primary_source,livelihoods/barriers_to_accessing_livelihoods,livelihoods/minors _working,education/primary_school_in_sites,education/primary_sufficient_certified_teachers,education/secondary_school_in_sites,education/secondary_sufficient_certified_teachers,education/school_aged_children_able_to_access_school,education/challenges_formal_education,education/formal_education_schoo_age_not_attending,protection/movement_restrictions,protection/security_incidents,protection/safety,protection/facilities_services_disability,protection/facilities_services_mental_disability,protection/facilities_mhpss,protection/civil_documents,protection/accessible_courts,_id,_uuid,_submission_time,_validation_status,_index
Hay Alintsar- near Al Ghrbaa Mus,Hay Al Intsar- Al Mash Bazar,Ninewa,Al-Mosul,Al-Muhamadath,Collective centre,Single,October,,Hay Alintsar- near Al Ghrbaa Mus,36.32002855,43.22693163,IDP households are clustered together,10/1/2014,1/1/2015,30,210,90,40,45,10,0,0,2,50,70,0,Ninewa,Hamdaniya,Most from Al Khazer Village,8/1/2014,No,Stay at site,Stay at site,House has been damaged/destroyed Lack of livelihood/income generating activities in AoO,No,"Non-Residential structure (garage, farm House, shop)",Less than a quarter shelters (1%-24%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris) Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting)",No households (0%),No tenancy agreement,,Yes,"No, the site is not accessible",Nearly all have access (75%-99%),None,None,Neither present in or around the site,Cash Food assistance Shelter rehabilitation,Municipal water network (communal access),Yes,Private latrines,Private showers,No,No,No,Yes,Yes,No,Yes,No,Yes,Cost of healthcare was too high,Yes,Yes,No households (0%),None,Yes,Yes,3,Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs,1,Yes,Yes,Yes,Yes,55,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc)",Less than a quarter (1%-24%),No,No,Yes,No,No,No,Nearly all households (75%-99%),8,67740461,5de75661-a9bd-40a8-8e0b-8cf979513ad5,2019-09-13T15:13:24,,262
Firqa Sector - Ferqa1,Khwa Kork,Duhok,Zakho,Dercar,Dispersed settlements,Cluster,October,2,Firqa Sector - Ferqa1,37.16285132,42.70837139,IDP households are dispered,8/1/2014,8/1/2014,32,181,45,38,52,0,0,0,0,1,20,15,Ninewa,Sinjar,North Sinjar,8/1/2014,No,Stay at site,Stay at site,"Security concerns: Fear of discrimination Basic services in the area of origin are not enough/available (electricity, water, health) House has been damaged/destroyed Security concerns: Lack of security forces",No,Unfinished and abandoned Residential building,Most shelters (50%-74%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",All households (100%),No tenancy agreement,,Yes,"No, the site is not accessible",All have access (100%),Poor wiring,None,Neither present in or around the site,Fuel WASH (hygeine and sanitation infrastructure i.e. latrines and showers) Food assistance,Municipal water network (private access),Yes,Private latrines,Private showers,No,No,Yes,No,,,,,Yes,Cost of healthcare was too high,No,Yes,No households (0%),None,Don't know,Yes,5,Casual unskilled labour Unskilled agricultural albour Public security official,Underqualified for available jobs Increased competition for jobs; not enough jobs for everyone,8,Yes,Yes,Yes,Yes,85,None,No children (0%),No,No,Yes,No,No,No,All households (100%),50,67827674,bde93980-0db8-40ef-bc0c-703ed0d63e91,2019-09-14T13:42:29,,266
Al Hay Al JameI - Mosque street,Mohammed Abdullah Rashed,Maysan,Al-Kahla,Al-Msharah,Collective centre,Cluster,October,98,Al Hay Al JameI - Mosque street,31.80661472,47.17956464,IDP households are dispered,8/1/2014,8/1/2014,90,400,150,125,150,30,10,0,0,0,30,4,Ninewa Salah al-Din,Ba'aj Hamdaniya Telafar,,8/1/2014,No,Stay at site,Return to AoO,"Security concerns: Fear/trauma associated with returning to place of origin Security concerns: Presence of explosive hazards (mines, bombs, IEDs) House has been damaged/destroyed Basic services in the area of origin are not enough/available (electricity, water, health) Children enrolled at school in the area of displacement",No,Apartment,Less than a quarter shelters (1%-24%),No improvements needed  (shelter is good as it is),Nearly all households (75%-99%),No tenancy agreement,,No,"Yes, without any problem",Nearly all have access (75%-99%),None,Fire extinguishers Sand buckets,Neither present in or around the site,Cash NFIs Summerization items,Purchase water from shop,Yes,Private latrines,Private showers,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,No households (0%),None,Yes,Yes,1,Self-employment Public sector/ civil servant Pension from government,None,30,Yes,Yes,Yes,Yes,80,None,Less than a quarter (1%-24%),No,No,Yes,Yes,Yes,No,Less than a quarter (1%-24%),8,66599962,610e7ba7-3d18-44d6-89cf-e4761567863f,2019-09-03T16:12:16,,64
Hay Al-Hawaraa 3 - Al-Kut Sports City,Sport center,Wassit,Al-Kut,Markaz Al-Kut,Collective centre,Single,October,,Hay Al-Hawaraa 3 - Al-Kut Sports City,32.49381441,45.85151573,IDP households are dispered,10/1/2015,10/1/2015,102,300,175,55,70,4,0,0,2,25,10,0,Ninewa Salah al-Din,Hamdaniya,Bartellah,8/1/2014,No,Stay at site,Stay at site,Lack of livelihood/income generating activities in AoO House has been damaged/destroyed Living conditions are better in the area of displacement,No,"Public building (school, etc.)",Less than half shelters (25%-49%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",No households (0%),No tenancy agreement,,Yes,"Yes, without any problem",All have access (100%),None,None,Neither present in or around the site,Winterization items Summerization items Shelter rehabilitation,Purchase water from shop,Yes,Communal latrines Private latrines,Private showers,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,No households (0%),None,Yes,Yes,1,Casual unskilled labour Self-employment Public security official,Increased competition for jobs; not enough jobs for everyone,20,Yes,Yes,Yes,Yes,60,Physical/ logistical constraints,Less than a quarter (1%-24%),No,No,Yes,No,No,No,Less than a quarter (1%-24%),5,67050140,e36bf050-d76a-4920-8d2d-ea77bc86f016,2019-09-07T20:31:42,,134
Al Auja village  - Cluster of abandoned buildings near destroyed Sabha mosque,Abu Mithaq,Salah Al-Din,Tikrit,Um Al-Qura,Dispersed settlements,Single,October,,Al Auja village  - Cluster of abandoned buildings near destroyed Sabha mosque,34.57218858,43.69210268,IDP households are dispered,9/1/2015,10/1/2015,40,150,75,30,20,5,0,0,0,0,5,4,Salah al-Din Kirkuk,Baiji,Al-Zawiyeh,9/1/2015,No,Stay at site,Stay at site,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,No,Unfinished House,Less than half shelters (25%-49%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc",No households (0%),No tenancy agreement,,No,"Yes, without any problem",All have access (100%),None,Fire extinguishers Smoke detectors Fire blankets,Neither present in or around the site,Cash Food assistance,Municipal water network (communal access),Yes,Private latrines,Private showers,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,No,No households (0%),None,Yes,Yes,3,Public sector/ civil servant Skilled service industry Pension from government,Increased competition for jobs; not enough jobs for everyone,2,Yes,Yes,Yes,Yes,25,None,No children (0%),No,No,Yes,Yes,Yes,Yes,No households (0%),5,66828783,4da25304-55e9-4100-acf4-6b930c7a4404,2019-09-05T14:14:45,,114
Hay al sinay-Al samad-Mosque of the sunnah,Khattab Sharqi Abdullah,Salah Al-Din,Tikrit,Al-Alam,Collective centre,Cluster,October,2,Hay al sinay-Al samad-Mosque of the sunnah,34.71717774,43.71863435,IDP households are dispered,4/1/2015,6/1/2015,300,700,425,200,100,10,5,1,1,4,5,9,Kirkuk Diyala,Hawiga,Al-Abbasi,9/1/2014,No,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Basic services in the area of origin are not enough/available (electricity, water, health) Children enrolled at school in the area of displacement Living conditions are better in the area of displacement",No,Unfinished and abandoned Residential building,Most shelters (50%-74%),"Protection from hazards (contamination from explosive remnants of war, land at risk of flooding or landslides, solid waste dumping site, fire risks, etc.) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",Less than half (25%-49%),No tenancy agreement,,Yes,"No, the site is not accessible",All have access (100%),Low and uncovered electrical pylons Overloaded circuits,None,Neither present in or around the site,Cash Food assistance NFIs,Municipal water network (communal access),No,Private latrines,Private showers,No,No,Yes,Yes,No,No,Yes,No,Yes,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication Medication not available,Yes,Yes,Less than a quarter (1%-24%),No cooking facilities Limited access to food due to limited economic resources,No,Yes,2,Commercial agriculture Unskilled wage labour Casual unskilled labour,"Increased competition for jobs; not enough jobs for everyone Only low-skilled, socially degrading or low-paid jobs are available",50,Yes,Yes,Yes,Yes,80,Not enough schools or classrooms Not enough learning materials Physical/ logistical constraints,Most children (50-74%),No,No,Yes,Don't know,Don't know,No,Less than a quarter (1%-24%),2,66658676,2b53315b-0213-4b04-a97d-da2266b271db,2019-09-04T10:21:05,,65
Al-Amirya-Al Hmedin,Al-Hamedin site,Al-Anbar,Al-Falluja,Al-Amirya,Dispersed settlements,Single,October,,Al-Amirya-Al Hmedin,33.15675113,43.93196985,IDP households are dispered,3/1/2015,12/1/2015,112,575,225,160,80,30,2,10,10,90,4,8,Salah al-Din Anbar,Baiji Shirqat,Beji,12/1/2014,No,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Security concerns: Presence of explosive hazards (mines, bombs, IEDs) No financial means to return and restart",No,Tent,Less than half shelters (25%-49%),"Protection from hazards (contamination from explosive remnants of war, land at risk of flooding or landslides, solid waste dumping site, fire risks, etc.) Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,,No,"No, the site is not accessible",All have access (100%),Overloaded circuits,None,Neither present in or around the site,Cash Food assistance NFIs,Purchase water from shop,No,Public latrines Communal latrines,Public showers Communal showers,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication,No,Yes,Less than a quarter (1%-24%),Limited access to food due to limited economic resources,Yes,Yes,1,Commercial agriculture Unskilled agricultural albour Unskilled wage labour Self-employment,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away,10,Yes,Yes,Yes,Yes,80,Don't have necessary documentation,Less than a quarter (1%-24%),No,No,Yes,No,No,No,Less than a quarter (1%-24%),10,66590788,db9fff2c-0f61-4e2d-895f-5cf496b4ec48,2019-09-03T15:03:06,,59
Esiyan Village - Near Esiyan health center,Aysyan Village,Ninewa,Al-Shikhan,Markaz Al-Shikhan,Dispersed settlements,Cluster,October,2,Esiyan Village - Near Esiyan health center,36.71446888,43.29218787,IDP households are dispered,8/1/2014,8/1/2014,80,850,280,170,250,2,10,0,3,2,40,40,Ninewa,Sinjar,Tal Qasb- Sinjar,8/1/2014,No,Stay at site,Stay at site,"Security concerns: Lack of security forces Basic services in the area of origin are not enough/available (electricity, water, health) House has been damaged/destroyed",No,Unfinished and abandoned Residential building,Most shelters (50%-74%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",No households (0%),Don't know,,Yes,"No, the site is not accessible",All have access (100%),Poor wiring Low and uncovered electrical pylons,None,Neither present in or around the site,Summerization items,Municipal water network (private access),Yes,Private latrines,Private showers,No,No,Yes,Yes,No,No,No,No,Yes,Cost of healthcare was too high No qualified healthcare professionals Cost of transport was too high,No,Yes,No households (0%),None,Yes,Yes,5,Casual unskilled labour Unskilled agricultural albour Public security official Pension from government,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs,5,Yes,Yes,Yes,No,60,Not enough teachers Long distance to travel to school,No children (0%),No,No,Yes,No,No,No,No households (0%),5,67588962,8d34d9e1-da10-45d7-a414-8f63cd98fdee,2019-09-12T12:38:52,,234
Shariya - Shekh khedr village UB 1,Shex khadr Old,Duhok,Sumail,Sindi,Small settlement,Single,October,,Shariya - Shekh khedr village UB 1,36.80743457,43.02196913,IDP households are dispered,8/1/2014,9/1/2014,32,157,48,25,67,1,0,0,0,6,1,5,Ninewa,Sinjar,Jazera Q. - Sinjar,8/1/2014,No,Stay at site,Stay at site,"Security concerns: Lack of security forces Basic services in the area of origin are not enough/available (electricity, water, health) No financial means to return and restart",No,Unfinished and abandoned Residential building,Nearly all shelters (75-99%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",Less than a quarter (1%-24%),No tenancy agreement,,Yes,"No, the site is not accessible",All have access (100%),Poor wiring Low and uncovered electrical pylons,None,Neither present in or around the site,Food assistance Cash WASH (hygeine and sanitation infrastructure i.e. latrines and showers),Municipal water network (private access),Yes,Communal latrines,Private showers,No,No,No,No,,,,,Yes,Cost of healthcare was too high No transport available Cost of transport was too high Insufficient funds to purchase treatment/ medication,No,Yes,No households (0%),None,Yes,No,,Casual unskilled labour Unskilled agricultural albour,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs,5,No,,No,,95,"Not enough teachers Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Long distance to travel to school Security constraints (e.g. presence of UXOs in or around the school)",No children (0%),No,No,Yes,No,No,No,Less than a quarter (1%-24%),10,67194513,5bf59e49-9a47-450b-8dc0-42316d6f6047,2019-09-09T13:29:10,,175
Shariya - Shekh khedr village UB 2,Shex Khadr Kafn,Duhok,Sumail,Sindi,Dispersed settlements,Cluster,October,3,Shariya - Shekh khedr village UB 2,36.80619201,43.02010483,IDP households are dispered,8/1/2014,9/1/2014,42,200,63,23,44,1,0,0,2,30,25,6,Ninewa,Sinjar,Jazera Q. - Seba Shekh Khdar,8/1/2014,No,Stay at site,Stay at site,"Basic services in the area of origin are not enough/available (electricity, water, health) Security concerns: Fear/trauma associated with returning to place of origin House has been damaged/destroyed",No,Unfinished and abandoned Residential building,Nearly all shelters (75-99%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",No households (0%),No tenancy agreement,,No,"No, the site is not accessible",All have access (100%),Poor wiring Not enough electricity supply to the whole site,None,Neither present in or around the site,Cash Food assistance WASH (hygeine and sanitation infrastructure i.e. latrines and showers),Municipal water network (private access),Yes,Communal latrines,Private showers,Yes,No,No,No,,,,,Yes,Cost of healthcare was too high,No,Yes,No households (0%),None,Yes,No,,Public security official Unskilled agricultural albour Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away,60,No,,No,,60,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Long distance to travel to school",Less than half (25%-49%),No,No,Yes,No,No,No,Less than a quarter (1%-24%),10,67194806,81bc162b-92d3-482f-b4e5-89d19a3708ac,2019-09-09T13:31:07,,176
